last update: Sun May 01 2016 01:19:42 GMT+0800 (HKT)

order	team	score	std
0	[67]	929	100
1	[195]	902	96
2	[1718]	883	94
3	[2056]	870	92
4	[1678]	862	91
5	[1690]	852	90
6	[694]	852	90
7	[1519]	851	90
8	[148]	850	90
9	[133]	849	89
10	[2122]	846	89
11	[2052]	834	87
12	[2834]	834	87
13	[2590]	828	87
14	[217]	827	86
15	[971]	808	84
16	[230]	806	84
17	[364]	799	83
18	[1918]	794	82
19	[341]	789	81
20	[3683]	786	81
21	[4678]	782	81
22	[3546]	778	80
23	[3476]	773	79
24	[5172]	772	79
25	[3641]	763	78
26	[3130]	759	77
27	[1501]	759	77
28	[4334]	755	77
29	[987]	749	76
30	[5406]	747	76
31	[1024]	744	75
32	[3538]	744	75
33	[1425]	733	74
34	[876]	730	74
35	[2823]	730	74
36	[294]	728	73
37	[225]	727	73
38	[1806]	727	73
39	[1986]	726	73
40	[5895]	723	73
41	[2451]	721	72
42	[2481]	721	72
43	[379]	717	72
44	[1323]	716	72
45	[166]	715	72
46	[1731]	714	72
47	[33]	714	72
48	[5460]	714	72
49	[3005]	712	71
50	[4564]	712	71
51	[910]	710	71
52	[3339]	708	71
53	[365]	708	71
54	[3015]	708	71
55	[558]	703	70
56	[2557]	703	70
57	[1756]	702	70
58	[254]	701	70
59	[3620]	700	70
60	[3539]	699	70
61	[1197]	698	69
62	[868]	696	69
63	[27]	696	69
64	[118]	695	69
65	[525]	692	69
66	[2137]	692	69
67	[5050]	690	68
68	[4003]	687	68
69	[494]	685	68
70	[2013]	685	68
71	[179]	684	68
72	[708]	679	67
73	[25]	677	67
74	[330]	676	66
75	[1619]	676	66
76	[16]	673	66
77	[1305]	672	66
78	[1261]	669	66
79	[1241]	668	65
80	[193]	668	65
81	[85]	664	65
82	[3618]	661	65
83	[3357]	660	64
84	[5150]	654	64
85	[1257]	651	63
86	[3481]	649	63
87	[4001]	649	63
88	[233]	648	63
89	[4028]	647	63
90	[125]	643	62
91	[4561]	643	62
92	[5803]	642	62
93	[639]	638	61
94	[2767]	636	61
95	[175]	634	61
96	[2648]	634	61
97	[360]	634	61
98	[4587]	632	61
99	[842]	631	61
100	[1089]	628	60
101	[3238]	628	60
102	[1114]	628	60
103	[120]	625	60
104	[973]	625	60
105	[4967]	625	60
106	[2614]	623	59
107	[5546]	623	59
108	[4488]	622	59
109	[3990]	622	59
110	[1736]	621	59
111	[1418]	620	59
112	[2474]	619	59
113	[359]	619	59
114	[2502]	619	59
115	[610]	619	59
116	[1640]	619	59
117	[4451]	619	59
118	[3937]	619	59
119	[346]	619	59
120	[3314]	618	59
121	[2194]	617	59
122	[3360]	617	59
123	[41]	616	59
124	[1538]	615	58
125	[3284]	614	58
126	[1885]	614	58
127	[5813]	613	58
128	[2522]	613	58
129	[1023]	610	58
130	[3663]	609	58
131	[2637]	608	57
132	[20]	608	57
133	[4613]	608	57
134	[2383]	606	57
135	[2471]	606	57
136	[48]	606	57
137	[3044]	604	57
138	[70]	602	57
139	[176]	600	56
140	[2485]	600	56
141	[5448]	599	56
142	[4391]	599	56
143	[3478]	599	56
144	[503]	599	56
145	[122]	598	56
146	[5499]	597	56
147	[135]	596	56
148	[333]	596	56
149	[4103]	596	56
150	[229]	596	56
151	[3309]	595	56
152	[1058]	594	56
153	[2035]	593	55
154	[1011]	591	55
155	[303]	590	55
156	[3419]	590	55
157	[1747]	589	55
158	[2054]	589	55
159	[5114]	589	55
160	[686]	588	55
161	[548]	586	55
162	[573]	586	55
163	[177]	586	55
164	[1768]	585	54
165	[1662]	585	54
166	[3042]	584	54
167	[172]	584	54
168	[1137]	582	54
169	[1405]	582	54
170	[869]	582	54
171	[5663]	581	54
172	[231]	580	54
173	[4061]	579	54
174	[2046]	579	54
175	[2438]	578	54
176	[5254]	578	54
177	[2067]	578	54
178	[1625]	577	53
179	[126]	577	53
180	[1099]	576	53
181	[1684]	576	53
182	[5437]	575	53
183	[2771]	575	53
184	[329]	575	53
185	[78]	574	53
186	[228]	573	53
187	[4256]	573	53
188	[2439]	570	52
189	[1262]	570	52
190	[4253]	570	52
191	[3352]	567	52
192	[1775]	567	52
193	[1712]	567	52
194	[3166]	566	52
195	[1983]	566	52
196	[3574]	566	52
197	[1143]	566	52
198	[4276]	565	52
199	[461]	564	52
200	[1477]	564	52
201	[2783]	564	52
202	[1987]	564	52
203	[1540]	563	52
204	[245]	563	52
205	[858]	562	51
206	[3534]	562	51
207	[2655]	561	51
208	[180]	560	51
209	[5326]	560	51
210	[2393]	560	51
211	[2415]	559	51
212	[3970]	558	51
213	[207]	558	51
214	[2147]	557	51
215	[4469]	557	51
216	[1676]	557	51
217	[74]	556	51
218	[1124]	556	51
219	[4362]	556	51
220	[5166]	556	51
221	[3536]	555	50
222	[1710]	555	50
223	[4242]	555	50
224	[4085]	555	50
225	[45]	555	50
226	[3847]	554	50
227	[2403]	553	50
228	[3245]	553	50
229	[3824]	552	50
230	[321]	552	50
231	[5618]	551	50
232	[1481]	551	50
