order	team	score	std
0	1519	870	100
1	195	810	91
2	3130	785	88
3	1918	770	86
4	973	765	85
5	2834	750	83
6	1241	740	81
7	254	733	80
8	41	725	79
9	118	712	77
10	230	711	77
11	2451	705	76
12	4001	705	76
13	1024	700	75
14	3314	697	75
15	133	691	74
16	27	688	74
17	3539	685	73
18	4362	680	73
19	166	676	72
20	45	670	71
21	5172	665	70
22	610	665	70
23	3538	663	70
24	3620	660	70
25	5895	660	70
26	987	660	70
27	67	655	69
28	3166	655	69
29	3419	655	69
30	2056	650	68
31	4564	650	68
32	708	650	68
33	4003	650	68
34	3357	647	68
35	2883	645	68
36	5907	645	68
37	225	644	67
38	16	644	67
39	1391	640	67
40	868	640	67
41	1640	635	66
42	971	631	66
43	294	631	66
44	2035	630	65
45	333	630	65
46	4060	630	65
47	148	628	65
48	876	626	65
49	5039	625	65
50	1310	625	65
51	122	624	65
52	3970	624	65
53	1011	622	64
54	3476	621	64
55	1806	620	64
56	1836	620	64
57	1678	620	64
58	172	617	63
59	5813	617	63
60	2586	617	63
61	2767	615	63
62	2137	615	63
63	3641	615	63
64	125	614	63
65	2122	614	63
66	2393	613	63
67	1736	611	63
68	4587	610	62
69	2175	610	62
70	20	606	62
71	48	606	62
72	5437	605	62
73	999	605	62
74	330	604	62
75	229	602	61
76	359	602	61
77	1323	601	61
78	5150	599	61
79	5401	598	61
80	1885	598	61
81	910	597	61
82	2052	597	61
83	842	597	61
84	5891	595	60
85	2823	595	60
86	2996	593	60
87	2637	593	60
88	4561	593	60
89	639	592	60
90	379	592	60
91	558	592	60
92	5663	592	60
93	2046	591	60
94	5546	590	60
95	1023	589	59
96	1690	589	59
97	1058	588	59
98	548	586	59
99	4678	586	59
100	1501	585	59
101	2054	585	59
102	1425	584	59
103	4103	584	59
104	4242	583	59
105	2485	582	58
106	1477	582	58
107	5817	582	58
108	3234	582	58
109	1538	582	58
110	5406	582	58
111	4256	582	58
112	834	581	58
113	2614	581	58
114	1676	581	58
115	233	580	58
116	123	580	58
117	4967	580	58
118	5803	580	58
119	3600	579	58
120	858	579	58
121	3990	579	58
122	1306	578	58
123	1114	578	58
124	4330	577	58
125	2557	577	58
126	2439	577	58
127	3937	576	58
128	1731	576	58
129	2481	576	58
130	2590	575	57
131	4039	574	57
132	1318	574	57
133	4613	574	57
134	3310	572	57
135	3238	572	57
136	1747	571	57
137	2341	571	57
138	525	570	57
139	3683	570	57
140	228	570	57
141	4469	570	57
142	2471	569	57
143	245	569	57
144	2522	569	57
145	3925	568	56
146	1987	567	56
147	126	567	56
148	6167	567	56
149	2468	567	56
150	4451	566	56
151	1481	565	56
152	5830	565	56
153	5499	565	56
154	5460	565	56
155	295	565	56
156	103	564	56
157	5926	564	56
158	5114	564	56
159	5677	564	56
160	1718	563	56
161	4264	563	56
162	1559	563	56
163	2403	562	56
164	3245	562	56
165	4085	562	56
166	3663	561	55
167	3309	560	55
168	2147	560	55
169	694	560	55
170	85	557	55
171	4391	556	55
172	33	556	55
173	4026	556	55
